Method,accuracy,precision,recall,f1,macro_f1,mcc,auroc,average_precision,balanced_accuracy,ece,brier_score,n_samples,elapsed_seconds,errors
structured_single/none,0.86,0.918918918918919,0.8947368421052632,0.9066666666666666,0.8133333333333332,0.6277581661220718,0.9067982456140351,0.9634670333971243,0.8223684210526316,0.13799999999999998,0.12168000000000001,50.0,0.0,0.0
structured_single/openai/gpt-4o-mini,0.84,0.8571428571428571,0.9473684210526315,0.9,0.75,0.521168438562221,0.9002192982456141,0.9623068281910208,0.7236842105263157,0.14099999999999996,0.13383,50.0,288.6,0.0
direct_judge/openai/gpt-4o-mini,0.84,0.8571428571428571,0.9473684210526315,0.9,0.75,0.521168438562221,0.4736842105263158,0.7438929219600725,0.7236842105263157,0.17899999999999994,0.21914999999999998,50.0,114.8,0.0
full_idraak/none,0.86,0.918918918918919,0.8947368421052632,0.9066666666666666,0.8133333333333332,0.6277581661220718,0.9067982456140351,0.9634670333971243,0.8223684210526316,0.11699999999999997,0.113132,50.0,0.0,0.0
full_idraak/openai/gpt-4o-mini,0.8,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.6612466124661247,0.36891438072857313,0.9199561403508771,0.9736604784615054,0.6403508771929824,0.13799999999999998,0.10485000000000001,50.0,511.8,0.0
