Method,accuracy,precision,recall,f1,macro_f1,mcc,auroc,average_precision,balanced_accuracy,ece,brier_score,n_samples,elapsed_seconds,errors
structured_single/none,0.86,0.918918918918919,0.8947368421052632,0.9066666666666666,0.8133333333333332,0.6277581661220718,0.9067982456140351,0.9634670333971243,0.8223684210526316,0.13799999999999998,0.12168000000000001,50.0,0.0,0.0
structured_single/openai/gpt-4o-mini,0.86,0.918918918918919,0.8947368421052632,0.9066666666666666,0.8133333333333332,0.6277581661220718,0.9067982456140351,0.9634670333971243,0.8223684210526316,0.13799999999999998,0.12168000000000001,50.0,265.6,0.0
direct_judge/openai/gpt-4o-mini,0.94,0.926829268292683,1.0,0.9620253164556962,0.9095840867992766,0.8337397382993761,0.8157894736842105,0.911578947368421,0.875,0.2088000000000001,0.21735999999999997,50.0,68.5,0.0
ensemble/openai/gpt-4o-mini,0.78,0.7755102040816326,1.0,0.8735632183908046,0.5137046861184793,0.25421614885788835,0.8267543859649122,0.9114337568058076,0.5416666666666666,0.19799999999999987,0.20020000000000004,50.0,78.5,0.0
full_idraak/none,0.86,0.918918918918919,0.8947368421052632,0.9066666666666666,0.8133333333333332,0.6277581661220718,0.9067982456140351,0.9634670333971243,0.8223684210526316,0.11699999999999997,0.113132,50.0,0.0,0.0
full_idraak/openai/gpt-4o-mini,0.74,0.7659574468085106,0.9473684210526315,0.8470588235294118,0.49019607843137253,0.05521232783270178,0.8914473684210527,0.958589097668045,0.5153508771929824,0.11950000000000005,0.12375649999999999,50.0,511.3,0.0
