Method,accuracy,precision,recall,f1,macro_f1,mcc,auroc,average_precision,balanced_accuracy,ece,brier_score,n_samples,elapsed_seconds,errors
structured_single/none,0.8348314606741573,0.9323741007194245,0.8663101604278075,0.8981288981288982,0.730963558856734,0.47391687842035335,0.7959064547714092,0.9330511478253716,0.7676621224674249,0.07850561797752806,0.11646842696629213,890.0,0.1,0.0
structured_single/openai/gpt-4o-mini,0.798876404494382,0.8870748299319728,0.8716577540106952,0.8792987188132164,0.6383025580598068,0.27726519080314876,0.7644093168637494,0.9273915475442209,0.643575355878587,0.06704494382022476,0.11996280898876403,890.0,4162.7,0.0
direct_judge/openai/gpt-4o-mini,0.9314606741573034,0.9466840052015605,0.9732620320855615,0.959789057350033,0.8639249469259671,0.7313602836160733,0.3500555471868645,0.7889817502241445,0.8422648188596822,0.11567415730337093,0.15518820224719101,890.0,1731.5,0.0
full_idraak/none,0.8348314606741573,0.9323741007194245,0.8663101604278075,0.8981288981288982,0.730963558856734,0.47391687842035335,0.7959064547714092,0.9330511478253716,0.7676621224674249,0.16489325842696642,0.12997283707865168,890.0,0.2,0.0
full_idraak/openai/gpt-4o-mini,0.8213483146067416,0.8839634941329857,0.9064171122994652,0.8950495049504951,0.6475247524752475,0.2967356510575213,0.8354908864954433,0.9612031349492696,0.6398282744595918,0.12637078651685388,0.12246365168539325,890.0,8243.5,0.0
